g	p	FC
AC5u0009GL001877	9.68E-05	-0.763453543
AC5u0009GL000915	9.49E-05	-0.63830435
AC5u0009GL001738	8.57E-05	-0.455929593
AC5u0009GL002096	7.60E-05	-0.976046001
AC5u0009GL001876	7.57E-05	-0.756899005
AC5u0009GL001259	7.10E-05	0.264881349
AC5u0009GL001062	6.94E-05	0.373364883
AC5u0009GL000107	6.64E-05	-0.231698039
AC5u0009GL000318	6.23E-05	0.366282196
AC5u0009GL000901	6.19E-05	0.764711726
AC5u0009GL000106	6.03E-05	-0.210711292
AC5u0009GL001415	5.66E-05	-0.420806848
AC5u0009GL002084	4.81E-05	-0.699289974
AC5u0009GL001152	4.69E-05	0.445079635
AC5u0009GL000769	4.64E-05	-0.313310361
AC5u0009GL001739	4.55E-05	-0.455190743
AC5u0009GL000936	4.29E-05	-0.676358863
AC5u0009GL001418	4.26E-05	-0.337560906
AC5u0009GL001940	4.12E-05	0.6951044
AC5u0009GL000967	3.86E-05	0.528593684
AC5u0009GL000019	3.70E-05	-0.320994585
AC5u0009GL001178	3.60E-05	0.554185088
AC5u0009GL000893	3.49E-05	0.989745569
AC5u0009GL001878	2.47E-05	-0.860538329
AC5u0009GL001416	2.03E-05	-0.378410878
AC5u0009GL000588	1.87E-05	0.61956851
AC5u0009GL001710	1.67E-05	0.716213467
AC5u0009GL001883	1.52E-05	-0.964997097
AC5u0009GL001268	1.51E-05	-0.288410743
AC5u0009GL000587	1.50E-05	0.489258734
AC5u0009GL001289	1.49E-05	-0.604288382
AC5u0009GL000224	1.38E-05	0.38107429
AC5u0009GL001740	1.33E-05	-0.451672669
AC5u0009GL000071	1.25E-05	0.776810443
AC5u0009GL000222	1.16E-05	0.309486669
AC5u0009GL000571	1.11E-05	0.427608898
AC5u0009GL000916	1.03E-05	-0.706510651
AC5u0009GL000376	9.02E-06	0.759189026
AC5u0009GL001122	8.00E-06	-0.809427008
AC5u0009GL002089	7.44E-06	-1.028412519
AC5u0009GL000891	6.62E-06	0.841113026
AC5u0009GL001821	6.48E-06	0.880592017
AC5u0009GL000057	4.97E-06	0.475683222
AC5u0009GL000319	4.54E-06	0.384356061
AC5u0009GL000225	3.70E-06	0.419378433
AC5u0009GL000371	3.68E-06	0.477567614
AC5u0009GL000600	3.62E-06	0.557738634
AC5u0009GL001342	3.50E-06	0.857630287
AC5u0009GL000681	3.41E-06	0.663228795
AC5u0009GL001474	2.45E-06	-0.336020952
AC5u0009GL000317	2.36E-06	0.399836945
AC5u0009GL000778	2.36E-06	0.740945809
AC5u0009GL001552	2.26E-06	0.776707954
AC5u0009GL001425	2.15E-06	0.517498655
AC5u0009GL000894	2.09E-06	0.883424051
AC5u0009GL000902	1.96E-06	0.933854683
AC5u0009GL000799	1.49E-06	0.571829129
AC5u0009GL000599	8.30E-07	0.492910607
AC5u0009GL000226	8.16E-07	0.492224982
AC5u0009GL000716	7.42E-07	0.46883433
AC5u0009GL000674	6.89E-07	0.427955567
AC5u0009GL001880	6.61E-07	-0.943908804
