Row	mVersatile_1	mVersatile_2	mVersatile_3	mVersatile_4	mVersatile_5	mVersatile_6	mVersatile_7	mVersatile_8	mVersatile_9	mVersatile_10	mVersatile_11	mVersatile_12	mVersatile_13	mVersatile_14	mVersatile_15	mVersatile_16	mVersatile_17	mVersatile_18	mVersatile_19	mVersatile_20	mVersatile_21	mVersatile_22	mVersatile_23	mVersatile_24	mVersatile_25
EXC_BOTH_ala__L_e	-0	-0	-0	-0	-0	-5.37604003770604e-30	-0	1.53820577355153e-28	4.62394475947152e-31	-0	-0	-0	-0	3.81664325644426e-29	-1.62842584508684e-45	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
EXC_BOTH_arg__L_e	-0	0.0414790348170789	0.0414027746951002	0.0403993342160486	-0	0.0304772458821623	0.0414790348171271	0.0404672709391673	0.0414790348172548	-0	-0	-0	0.0414790348170869	4.6537218462736e-24	5.44109731231226e-12	-4.40533682320741e-13	2.77621945229305e-10	0.0414790348170933	0.0414790348171231	6.79486455178685e-13	0.0414790138686212	0.0195208374549808	-4.05366649972235e-28	-3.02733602333647e-28	-0
EXC_BOTH_asn__L_e	-0	0.0414027746951002	0.041563299566678	7.4977024344799e-15	-0	0.0305391143190544	0.0415632995665885	0.0405321201315519	0.0415632995667335	-0	-1.1581774666328e-29	1.4944225375907e-30	0.0415632995666747	2.92642482255859e-27	-1.37803543026264e-11	-1.19553803007256e-29	-3.00141466325211e-10	0.0415632995667757	0.0415632995667554	6.79486455178685e-13	0.0415632785329553	0.0195604940787828	1.58408788984615e-28	4.0364480311153e-28	-0
EXC_BOTH_asp__L_e	-0	0.0403993342160486	7.4977024344799e-15	0.0405521580341312	-0	0.0297967067717389	0.040552158034131	0.0390964720382691	0.0405521580342738	-0	6.59078215839294e-31	6.59078215839294e-31	0.0405521580341277	-1.67540541214655e-27	-3.65865617089181e-12	2.82462092502555e-31	-1.39963400375922e-09	0.0405521580341307	0.0405521580341661	6.79460224322773e-13	0.040552137140803	0.0190781075069801	4.89481869245268e-13	-0	-0
EXC_BOTH_btn_e	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
EXC_BOTH_cys__L_e	-5.37604003770604e-30	0.0304772458821623	0.0305391143190544	0.0297967067717389	-0	0.0305955408944008	0.0305955408944227	0.0298356550922568	0.0305955408945432	-0	-4.18136447377136e-30	-4.06189691737789e-29	0.0305955408944006	6.53753610024141e-26	-4.28638286514877e-12	-7.76539116557539e-30	-1.23023161002008e-09	0.0305955408945439	0.0305955408945187	5.13154724432542e-13	0.0305955233722344	0.00856851361274952	1.46844560773581e-12	-1.00911200777882e-27	-0
EXC_BOTH_gln__L_e	-0	0.0414790348171271	0.0415632995665885	0.040552158034131	-0	0.0305955408944227	0.0416401527282786	-3.90963897976978e-22	0.0416401527283702	-0	-1.78570617448915e-29	-5.10201764139757e-30	0.041640152728262	3.02733602333647e-28	-8.09150821986478e-12	9.83960545126674e-30	-1.83700836274341e-09	0.041640152728327	0.0416401527283216	6.79486455178685e-13	0.0416401316167623	0.0195966626656494	-2.52671349859689e-29	-1.59862904214393e-28	-0
EXC_BOTH_glu__L_e	1.53820577355153e-28	0.0404672709391673	0.0405321201315519	0.0390964720382691	-0	0.0298356550922568	-3.90963897976978e-22	0.0406052038143938	0.0406052038143987	-0	8.11185731970592e-17	-2.54885777970668e-27	0.0406052038143911	1.11607788060338e-25	-6.75683227354038e-12	8.11185731999006e-17	2.01484247977679e-09	0.0405748246239725	0.0406052038143819	-6.57360276528446e-13	0.0406051828663475	0.0191095956544175	-4.90368486892714e-13	-7.91306362006695e-18	-0
EXC_BOTH_gly_e	4.62394475947152e-31	0.0414790348172548	0.0415632995667335	0.0405521580342738	-0	0.0305955408945432	0.0416401527283702	0.0406052038143987	0.041640152728395	-0	7.39831161515444e-30	1.84957790378861e-30	0.0416401527284646	-1.00911200777882e-27	-2.14319143744588e-12	-1.00911200777882e-28	9.02446202100814e-10	0.0416401527284295	0.0416401527284788	4.46454509616673e-14	0.0416401316168726	0.019596662665832	-3.19162967386254e-16	-4.89481869245267e-13	-0
EXC_BOTH_his__L_e	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
